outletName,RSSLink
ABC News,https://www.abc.net.au/news/feed/51120/rss.xml
9 News,https://www.9news.com.au/rss
Syndey Morning Herald,https://www.smh.com.au/rss/feed.xml
The Australian,https://www.theaustralian.com.au/feed/
News.com.au,https://www.news.com.au/content-feeds/latest-news-world/
SBS Australia,https://www.sbs.com.au/news/feed
Independent Australia,http://feeds.feedburner.com/IndependentAustralia
Daily Telegraph,https://www.dailytelegraph.com.au/feed
The Age,https://www.theage.com.au/rss/feed.xml
Michael West,https://www.michaelwest.com.au/feed/
The Guardian,https://www.theguardian.com/au/rss
CNN,http://rss.cnn.com/rss/cnn_topstories.rss
New York Times,https://rss.nytimes.com/services/xml/rss/nyt/World.xml
Fox News,https://moxie.foxnews.com/feedburner/latest.xml
Reuters,https://cdn.feedcontrol.net/8/1114-wioSIX3uu8MEj.xml
BBC News,http://feeds.bbci.co.uk/news/world/rss.xml
The Conversation,https://theconversation.com/au/articles.atom
The Washington Post,http://feeds.washingtonpost.com/rss/world?itid=lk_inline_manual_40
Wall Street Journal,https://feeds.a.dj.com/rss/RSSWorldNews.xml
CNBC,https://www.cnbc.com/id/100727362/device/rss/rss.html
Daily Mail,https://www.dailymail.co.uk/news/index.rss
Huffington Post,https://www.huffpost.com/section/front-page/feed
BuzzFeed,https://www.buzzfeed.com/au/index.xml
Amercian ABC,https://abcnews.go.com/abcnews/topstories
The Economist,https://www.economist.com/the-world-this-week/rss.xml
Sky News,https://feeds.skynews.com/feeds/rss/world.xml
